172.18.0.1 - - [04/Dec/2022:17:57:34 +0000] "GET / HTTP/2.0" 403 169 "-" "curl/7.74.0"
10.0.2.2 - - [04/Dec/2022:18:32:15 +0000] "GET /api/passphrase HTTP/2.0" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [04/Dec/2022:18:32:16 +0000] "GET /api/license/timestamp/53a4c0c0e4b0f503bd6e4368 HTTP/2.0" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [04/Dec/2022:18:32:17 +0000] "GET /api/passphrase HTTP/2.0" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [04/Dec/2022:18:32:19 +0000] "GET /api/license/timestamp/53a4c0c0e4b0f503bd6e4368 HTTP/2.0" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [04/Dec/2022:18:33:08 +0000] "GET / HTTP/2.0" 403 188 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.0.2.2 - - [04/Dec/2022:18:33:09 +0000] "GET /favicon.ico HTTP/2.0" 404 188 "https://127.0.0.1/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.0.2.2 - - [04/Dec/2022:18:37:17 +0000] "GET / HTTP/1.1" 403 199 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.0.2.2 - - [04/Dec/2022:18:37:18 +0000] "GET /favicon.ico HTTP/1.1" 404 199 "https://127.0.0.1/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.0.2.2 - - [04/Dec/2022:18:38:10 +0000] "GET / HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.0.2.2 - - [04/Dec/2022:18:38:25 +0000] "GET / HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.0.2.2 - - [04/Dec/2022:18:38:57 +0000] "GET / HTTP/1.1" 200 11 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.0.2.2 - - [04/Dec/2022:18:40:22 +0000] "GET / HTTP/1.1" 403 199 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.0.2.2 - - [04/Dec/2022:18:40:22 +0000] "GET /favicon.ico HTTP/1.1" 404 199 "https://127.0.0.1/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.0.2.2 - - [04/Dec/2022:18:40:25 +0000] "GET / HTTP/1.1" 403 199 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.0.2.2 - - [04/Dec/2022:18:40:25 +0000] "GET /favicon.ico HTTP/1.1" 404 199 "https://127.0.0.1/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.0.2.2 - - [04/Dec/2022:19:31:23 +0000] "GET /api/passphrase HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [04/Dec/2022:19:31:25 +0000] "GET /api/license/timestamp/53a4c0c0e4b0f503bd6e4368 HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [04/Dec/2022:19:32:51 +0000] "GET /api/passphrase HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [04/Dec/2022:19:32:53 +0000] "GET /api/license/timestamp/53a4c0c0e4b0f503bd6e4368 HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [04/Dec/2022:20:31:51 +0000] "GET /api/passphrase HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [04/Dec/2022:20:31:53 +0000] "GET /api/license/timestamp/53a4c0c0e4b0f503bd6e4368 HTTP/1.1" 404 169 "-" "V4 agent/1.0"
10.0.2.2 - - [04/Dec/2022:20:33:28 +0000] "GET /api/passphrase HTTP/1.1" 404 169 "-" "V4 agent/1.0"
